i,date,start,finish,T,alpha,num_vehi,obj,iter,time
1,2023-10-26,18.22,18.43,40.73098293941635,0.99,2,5825.0,20000,1266.470508801
2,2023-10-26,19.29,19.50,56.74968681068243,0.99,2,5825.0,18728,1259.111059023
3,2023-10-26,20.37,20.56,80.67364100285693,0.99,2,5825.0,17742,1157.742063063
4,2023-10-26,21.40,22.1,51.32339951394469,0.99,2,5825.0,18359,1248.243624525
5,2023-10-26,22.42,23.5,171.43206770813944,0.99,2,5825.0,13157,1370.355244819
6,2023-10-27,23.52,0.14,69.38403894383923,0.99,2,5825.2,17731,1307.532389669
7,2023-10-27,1.1,1.19,53.96838749190028,0.99,2,5825.0,17975,1074.868550964
8,2023-10-27,2.1,2.23,72.9597948486792,0.99,2,5825.0,16929,1281.558717166
9,2023-10-27,3.4,3.32,49.30105279273132,0.99,2,5825.0,19062,1628.506451042
10,2023-10-27,4.14,4.38,51.32339951394486,0.99,2,5825.0,19070,1449.605440685
