i,date,start,finish,T,alpha,num_vehi,obj,iter,time
1,2023-10-26,17.42,18.21,20.56449852253824,0.99,2,1507.5,16582,2348.271759113
2,2023-10-26,18.45,19.20,61.50096245838182,0.99,2,1461.5,14475,2094.617747193
3,2023-10-26,19.50,20.31,14.908857047674568,0.99,2,1452.3999999999999,17542,2453.13077529
4,2023-10-26,20.59,21.43,8.929749478250013,0.99,2,1465.1,19211,2615.994910983
5,2023-10-26,22.4,22.32,70.08488782205984,0.99,2,1476.5,11371,1664.17182614
6,2023-10-26,23.10,23.41,125.54028084949107,0.99,2,1463.3,12513,1905.38072546
7,2023-10-27,0.16,0.51,70.08488782205967,0.99,2,1440.5,13896,2102.928138346
8,2023-10-27,1.22,1.51,112.40101589493237,0.99,2,1453.8,13152,1731.77851546
9,2023-10-27,2.25,3.3,29.52916169531171,0.99,2,1478.8,16691,2243.74156676
10,2023-10-27,3.34,4.11,51.84181769085334,0.99,2,1460.9,15548,2220.374950534
