ins,Num_Run,i,date,alpha,iter,time,num_vehi,obj,BestVehi,BestKnown,gap
C101,4.0,3,2023-05-20,0.99,20000,211.7244683,11,7395.000000000002,10,6363.2000000000035,16.22
C102,3.0,2,2023-05-20,0.99,20000,199.8656657,20,6122.499999999999,Inf,Inf,NaN
C103,3.0,2,2023-05-20,0.99,14820,143.699405,20,1173.2000000000037,Inf,Inf,NaN
C104,3.0,1,2023-05-19,0.99,16107,142.153386,18,244.0000000000016,Inf,Inf,NaN
C105,3.0,2,2023-05-20,0.99,20000,189.512676,14,3664.8999999999937,Inf,Inf,NaN
C106,3.0,2,2023-05-20,0.99,20000,186.7542533,15,2535.9999999999977,Inf,Inf,NaN
C107,3.0,2,2023-05-20,0.99,20000,181.4425032,14,3062.3,Inf,Inf,NaN
C108,3.0,1,2023-05-19,0.99,11035,103.3901856,18,989.5000000000003,Inf,Inf,NaN
C109,3.0,2,2023-05-20,0.99,20000,180.0162471,18,104.69999999999982,Inf,Inf,NaN
C201,3.0,3,2023-05-24,0.99,19163,179.8546954,9,3136.4000000000024,Inf,Inf,NaN
C202,3.0,1,2023-05-19,0.99,10666,88.8432894,5,187.79999999999745,Inf,Inf,NaN
C203,3.0,3,2023-05-24,0.99,15581,129.1550704,5,283.2000000000007,Inf,Inf,NaN
C204,3.0,2,2023-05-20,0.99,14467,103.8478193,5,335.79999999999836,Inf,Inf,NaN
C205,3.0,3,2023-05-24,0.99,20000,184.8275442,9,854.4000000000042,Inf,Inf,NaN
C206,3.0,1,2023-05-19,0.99,20000,166.5022494,9,2139.8,Inf,Inf,NaN
C207,3.0,3,2023-05-24,0.99,20000,178.2786305,12,3265.1000000000013,Inf,Inf,NaN
C208,3.0,2,2023-05-20,0.99,19466,176.1479225,14,742.199999999998,Inf,Inf,NaN
R101,3.0,1,2023-05-19,0.99,20000,272.2313412,23,4255.199999999998,Inf,Inf,NaN
R102,3.0,1,2023-05-19,0.99,20000,262.7588279,26,863.5999999999996,Inf,Inf,NaN
R103,1.0,1,1994-01-01,Inf,0,Inf,0,Inf,Inf,Inf,NaN
R104,1.0,1,1994-01-01,Inf,0,Inf,0,Inf,Inf,Inf,NaN
R105,1.0,1,1994-01-01,Inf,0,Inf,0,Inf,Inf,Inf,NaN
R106,1.0,1,1994-01-01,Inf,0,Inf,0,Inf,Inf,Inf,NaN
R107,1.0,1,1994-01-01,Inf,0,Inf,0,Inf,Inf,Inf,NaN
R108,1.0,1,1994-01-01,Inf,0,Inf,0,Inf,Inf,Inf,NaN
R109,1.0,1,1994-01-01,Inf,0,Inf,0,Inf,Inf,Inf,NaN
R110,1.0,1,1994-01-01,Inf,0,Inf,0,Inf,Inf,Inf,NaN
R111,1.0,1,1994-01-01,Inf,0,Inf,0,Inf,Inf,Inf,NaN
R112,1.0,1,1994-01-01,Inf,0,Inf,0,Inf,Inf,Inf,NaN
R201,1.0,1,1994-01-01,Inf,0,Inf,0,Inf,Inf,Inf,NaN
R202,1.0,1,1994-01-01,Inf,0,Inf,0,Inf,Inf,Inf,NaN
R203,1.0,1,1994-01-01,Inf,0,Inf,0,Inf,Inf,Inf,NaN
R204,1.0,1,1994-01-01,Inf,0,Inf,0,Inf,Inf,Inf,NaN
R205,1.0,1,1994-01-01,Inf,0,Inf,0,Inf,Inf,Inf,NaN
R206,1.0,1,1994-01-01,Inf,0,Inf,0,Inf,Inf,Inf,NaN
R207,1.0,1,1994-01-01,Inf,0,Inf,0,Inf,Inf,Inf,NaN
R208,1.0,1,1994-01-01,Inf,0,Inf,0,Inf,Inf,Inf,NaN
R209,1.0,1,1994-01-01,Inf,0,Inf,0,Inf,Inf,Inf,NaN
R210,1.0,1,1994-01-01,Inf,0,Inf,0,Inf,Inf,Inf,NaN
R211,1.0,1,1994-01-01,Inf,0,Inf,0,Inf,Inf,Inf,NaN
RC101,1.0,1,1994-01-01,Inf,0,Inf,0,Inf,Inf,Inf,NaN
RC102,1.0,1,1994-01-01,Inf,0,Inf,0,Inf,Inf,Inf,NaN
RC103,1.0,1,1994-01-01,Inf,0,Inf,0,Inf,Inf,Inf,NaN
RC104,1.0,1,1994-01-01,Inf,0,Inf,0,Inf,Inf,Inf,NaN
RC105,1.0,1,1994-01-01,Inf,0,Inf,0,Inf,Inf,Inf,NaN
RC106,1.0,1,1994-01-01,Inf,0,Inf,0,Inf,Inf,Inf,NaN
RC107,1.0,1,1994-01-01,Inf,0,Inf,0,Inf,Inf,Inf,NaN
RC108,1.0,1,1994-01-01,Inf,0,Inf,0,Inf,Inf,Inf,NaN
RC201,1.0,1,1994-01-01,Inf,0,Inf,0,Inf,Inf,Inf,NaN
RC202,1.0,1,1994-01-01,Inf,0,Inf,0,Inf,Inf,Inf,NaN
RC203,1.0,1,1994-01-01,Inf,0,Inf,0,Inf,Inf,Inf,NaN
RC204,1.0,1,1994-01-01,Inf,0,Inf,0,Inf,Inf,Inf,NaN
RC205,1.0,1,1994-01-01,Inf,0,Inf,0,Inf,Inf,Inf,NaN
RC206,1.0,1,1994-01-01,Inf,0,Inf,0,Inf,Inf,Inf,NaN
RC207,1.0,1,1994-01-01,Inf,0,Inf,0,Inf,Inf,Inf,NaN
RC208,1.0,1,1994-01-01,Inf,0,Inf,0,Inf,Inf,Inf,NaN
