i,date,start,finish,T,alpha,num_vehi,obj,iter,time
1,2023-10-07,18.19,18.20,721.5380459244349,0.99,14,820.1499999999999,8460,34.695546996
2,2023-10-07,19.2,19.3,222.62657442251543,0.99,12,674.4500000000002,11948,46.211213896
3,2023-10-07,19.45,19.46,97.6479119097018,0.99,14,850.7000000000003,15896,63.520030722
4,2023-10-07,20.29,20.29,129.38308794453155,0.99,11,611.5999999999998,14517,52.967877277
5,2023-10-07,21.12,21.13,283.355948014266,0.99,13,752.7,9744,38.109446455
6,2023-10-07,21.54,21.55,375.4454839284012,0.99,14,828.4000000000001,10470,41.806829575
7,2023-10-07,22.34,22.35,360.6514338341416,0.99,13,762.6000000000001,9536,38.554017007
8,2023-10-07,23.16,23.17,246.1642933605778,0.99,12,663.65,10693,42.138240252
9,2023-10-07,23.58,23.59,383.06854803428354,0.99,12,687.4500000000003,9888,38.578400534
10,2023-10-08,0.39,0.40,261.4651976647574,0.99,14,821.4000000000001,11350,45.055899811
