i,date,start,finish,T,alpha,num_vehi,obj,iter,time
1,2023-10-07,18.19,18.20,721.5380459244349,0.99,14,820.1499999999999,8460,34.695546996
2,2023-10-07,19.2,19.3,222.62657442251543,0.99,12,674.4500000000002,11948,46.211213896
3,2023-10-07,19.45,19.46,97.6479119097018,0.99,14,850.7000000000003,15896,63.520030722
4,2023-10-07,20.29,20.29,129.38308794453155,0.99,11,611.5999999999998,14517,52.967877277
5,2023-10-07,21.12,21.13,283.355948014266,0.99,13,752.7,9744,38.109446455
6,2023-10-07,21.54,21.55,375.4454839284012,0.99,14,828.4000000000001,10470,41.806829575
7,2023-10-07,22.34,22.35,360.6514338341416,0.99,13,762.6000000000001,9536,38.554017007
8,2023-10-07,23.16,23.17,246.1642933605778,0.99,12,663.65,10693,42.138240252
9,2023-10-07,23.58,23.59,383.06854803428354,0.99,12,687.4500000000003,9888,38.578400534
10,2023-10-08,0.39,0.40,261.4651976647574,0.99,14,821.4000000000001,11350,45.055899811
11,2023-10-28,18.51,19.45,197.33282761010273,0.99,12,748.7,13120,3257.390610568
12,2023-10-28,20.16,21.21,132.01008870985788,0.99,14,849.4,15589,3893.931983237
13,2023-10-28,21.45,22.20,454.4417121354127,0.99,14,790.5000000000002,8558,2113.178404011
14,2023-10-29,23.13,0.7,168.02056956074722,0.99,14,829.6999999999998,13493,3273.607170669
15,2023-10-29,0.41,1.28,241.26562392270228,0.99,12,750.7500000000002,11083,2819.632573144
16,2023-10-29,2.9,2.46,468.352242077352,0.99,14,822.6500000000002,9540,2163.209929502
17,2023-10-29,3.39,4.52,32.98101198609003,0.99,14,770.2499999999999,20000,4349.945808322
18,2023-10-29,5.7,5.53,336.15070414977356,0.99,13,747.9999999999999,10190,2770.421172498
19,2023-10-29,6.35,7.39,134.69042823166802,0.99,14,788.0499999999997,13811,3843.023765647
20,2023-10-29,8.2,9.4,136.05093760774565,0.99,14,796.6500000000001,13712,3694.966947484
