i,date,start,finish,T,alpha,num_vehi,obj,iter,time
1,2023-10-26,7.28,7.47,189.5571268442824,0.99,3,21775.9,14836,1152.397122702
2,2023-10-26,8.27,8.55,47.35839460149696,0.99,3,21780.699999999993,20000,1694.939498072
3,2023-10-26,9.41,10.0,211.7156571191338,0.99,3,21775.899999999994,14996,1110.61712312
4,2023-10-26,10.54,11.8,141.6317954597225,0.99,3,21777.899999999998,16820,795.843152849
5,2023-10-26,11.46,12.10,65.3236953508904,0.99,3,21780.699999999997,18750,1445.512799995
6,2023-10-26,12.49,13.4,492.4891087205389,0.99,3,21793.599999999995,10999,913.609761862
7,2023-10-26,13.59,14.23,47.35839460149707,0.99,3,21780.699999999997,20000,1449.3581448
8,2023-10-26,14.58,15.19,277.717164648782,0.99,3,21788.8,13536,1208.858551057
9,2023-10-26,16.21,16.33,195.35949933400164,0.99,3,21781.099999999995,13551,714.426640996
10,2023-10-26,17.14,17.35,74.44117421556888,0.99,3,21782.699999999997,17939,1266.187871215
