i,date,start,finish,T,alpha,num_vehi,obj,iter,time
1,2023-10-26,6.50,7.24,171.4320677081393,0.99,11,6467.199999999999,10999,2025.610972649
2,2023-10-26,7.58,8.35,71.50789493119045,0.99,11,6420.999999999999,13366,2259.635338942
3,2023-10-26,9.3,9.42,75.95263158409232,0.99,11,6420.999999999998,14521,2341.385915386
4,2023-10-26,10.8,10.38,187.66155557583966,0.99,11,6409.799999999999,10172,1756.605703339
5,2023-10-26,11.12,11.39,266.7740002701332,0.99,11,6411.4,8740,1642.829462447
6,2023-10-26,12.19,12.54,118.19368237002244,0.99,11,6409.8,12082,2099.115052479
7,2023-10-26,13.23,14.11,32.98101198609011,0.99,10,6405.7999999999965,18258,2852.013807894
8,2023-10-26,14.29,15.3,148.93089099577412,0.99,11,6413.299999999999,11708,2057.768436682
9,2023-10-26,15.33,16.6,164.67696022648843,0.99,11,6411.399999999999,11372,1968.276798018
10,2023-10-26,16.38,17.0,398.7821561264697,0.99,11,6411.4,7538,1319.28090708
